judge_model_name,criterion,locale,n_prompts,mean,std,se,ci95_low,ci95_high,ci90_low,ci90_high
Qwen3-235B,coherence,id_ID,46,0.4789855072463768,0.1512064561382388,0.02229417567627158,0.43677536231884057,0.5230072463768116,0.4434782608695652,0.5157608695652174
CommandA,coherence,id_ID,46,0.46503623188405796,0.1571998370913124,0.023177851487974258,0.42083333333333334,0.5108695652173914,0.4273460144927535,0.5045289855072463
Mistral-Medium,coherence,id_ID,46,0.4639492753623188,0.12718527299231583,0.018752445444081653,0.42879981884057966,0.5016304347826087,0.4340579710144929,0.4956521739130435
DeepSeek-V3,coherence,id_ID,46,0.4432971014492754,0.13728652974953867,0.020241794499989463,0.4056159420289855,0.4840579710144928,0.4108695652173914,0.4769927536231884
Llama-4-Maverick,coherence,id_ID,46,0.43297101449275355,0.1521548565631017,0.022434009690131505,0.3918478260869565,0.4769927536231884,0.3978260869565218,0.4695742753623188
AyaExpanse-32B,coherence,id_ID,46,0.4105072463768116,0.13789012872807146,0.020330790314117435,0.37264492753623196,0.4512681159420289,0.37880434782608696,0.4445652173913043
AyaExpanse-8B,coherence,id_ID,46,0.3938405797101449,0.1360990332805615,0.020066707697676434,0.3561594202898551,0.4344202898550724,0.36177536231884055,0.42735507246376814
Qwen2.5-7B,coherence,id_ID,46,0.38913043478260867,0.10042916497012652,0.014807472538198327,0.36068840579710143,0.4182971014492754,0.3648550724637681,0.41376811594202895
Mistral-7B,coherence,id_ID,46,0.38858695652173914,0.11372425357318602,0.0167677264090861,0.3561594202898551,0.4208378623188406,0.3608695652173913,0.41612318840579715
Llama-3.1-8B,coherence,id_ID,46,0.3847826086956522,0.13408704041357106,0.019770055533597664,0.34782608695652173,0.42481884057971014,0.3532608695652173,0.4181159420289856
CommandR7B,coherence,id_ID,46,0.3806159420289855,0.12399042112327639,0.01828139023488535,0.34601449275362317,0.4166666666666668,0.35126811594202895,0.41068840579710153
Qwen3-235B,coherence,ja_JP,46,0.5777173913043478,0.23429072335209078,0.0345442825599781,0.5115896739130434,0.6463768115942028,0.5222826086956522,0.6346014492753623
CommandA,coherence,ja_JP,46,0.5570652173913043,0.2226521354713484,0.032828266395960766,0.492205615942029,0.6206567028985508,0.5025362318840579,0.6097826086956523
Mistral-Medium,coherence,ja_JP,46,0.5512681159420291,0.18952480693117027,0.027943908273810953,0.498365036231884,0.607794384057971,0.5065217391304347,0.5980072463768115
Claude-4,coherence,ja_JP,46,0.5432971014492753,0.16489446274288155,0.024312362145921262,0.4965579710144928,0.5914855072463768,0.5041666666666667,0.5829710144927536
Llama-4-Maverick,coherence,ja_JP,46,0.5427536231884058,0.22231670696656453,0.03277881016106532,0.48061594202898544,0.6077943840579709,0.49002717391304346,0.5971014492753622
GPT-4.1,coherence,ja_JP,46,0.542572463768116,0.22367737638480018,0.03297942992177013,0.4784420289855073,0.6068885869565217,0.48858695652173934,0.5965579710144926
DeepSeek-V3,coherence,ja_JP,46,0.5309782608695652,0.17229983057354886,0.025404224064921398,0.48278985507246375,0.5807971014492753,0.4902083333333332,0.5722826086956522
Qwen2.5-7B,coherence,ja_JP,46,0.5021739130434781,0.17903578150033095,0.02639738584612954,0.4516304347826087,0.5556159420289856,0.46014492753623193,0.5460144927536232
AyaExpanse-32B,coherence,ja_JP,46,0.47735507246376807,0.18736857981554272,0.027625989929968595,0.42427536231884055,0.532608695652174,0.4331521739130435,0.5233695652173914
CommandR7B,coherence,ja_JP,46,0.4648550724637681,0.19809208049898003,0.029207083847562966,0.41068840579710153,0.5244565217391305,0.4190217391304349,0.5137681159420289
Llama-3.1-8B,coherence,ja_JP,46,0.4514492753623188,0.20533249419490998,0.030274624606261586,0.394927536231884,0.5141304347826088,0.40326086956521734,0.5023641304347825
AyaExpanse-8B,coherence,ja_JP,46,0.43315217391304334,0.2052887843270492,0.030268179937840922,0.3768115942028986,0.4923913043478261,0.38478260869565223,0.48242753623188406
Mistral-7B,coherence,ja_JP,46,0.3815217391304348,0.1720062538652594,0.025360938540769682,0.33496376811594203,0.4344202898550724,0.3416666666666666,0.42499999999999993
GPT-4.1,coherence,ru_RU,46,0.632427536231884,0.16869349315345117,0.024872498621147588,0.5846014492753624,0.6813405797101451,0.5927536231884057,0.6733695652173913
CommandA,coherence,ru_RU,46,0.6300724637681158,0.17436373098123414,0.025708529578339405,0.5804347826086956,0.6800724637681159,0.5884057971014492,0.672463768115942
Llama-4-Maverick,coherence,ru_RU,46,0.6291666666666667,0.17883151253776056,0.02636726803070643,0.5791666666666666,0.6800724637681159,0.5871376811594203,0.6726449275362318
Qwen3-235B,coherence,ru_RU,46,0.628804347826087,0.17635460315724794,0.026002067666425235,0.5795289855072464,0.6797101449275362,0.5869565217391305,0.6708423913043478
Claude-4,coherence,ru_RU,46,0.6043478260869566,0.17508145485651885,0.025814352190490455,0.5548913043478261,0.6543478260869565,0.5630434782608695,0.6465579710144926
Mistral-Medium,coherence,ru_RU,46,0.5903985507246378,0.16338403777701804,0.02408966213432915,0.544560688405797,0.6371376811594203,0.551802536231884,0.6293478260869566
CommandR7B,coherence,ru_RU,46,0.5628623188405798,0.18247870264485094,0.026905016874564626,0.5108695652173914,0.6161277173913042,0.5195561594202899,0.6074275362318841
DeepSeek-V3,coherence,ru_RU,46,0.5481884057971015,0.174101866764074,0.02566991980591434,0.5009057971014493,0.5994610507246376,0.5083333333333333,0.5913134057971013
AyaExpanse-32B,coherence,ru_RU,46,0.5396739130434781,0.1997698118437841,0.029454451838943265,0.48297101449275365,0.5974682971014492,0.4920289855072464,0.5874999999999999
